id,object_id,office_id,description,region,address1,address2,city,zip_code,state_code,country_code,latitude,longitude,created_at,updated_at
1,c:1,1,,Seattle,710 - 2nd Avenue,Suite 1100,Seattle,98104,WA,USA,47.603122,-122.333253,,
2,c:3,3,Headquarters,SF Bay,4900 Hopyard Rd,Suite 310,Pleasanton,94588,CA,USA,37.692934,-121.904945,,
3,c:4,4,,SF Bay,135 Mississippi St,,San Francisco,94107,CA,USA,37.764726,-122.39452299999999,,
4,c:5,5,Headquarters,SF Bay,1601 Willow Road,,Menlo Park,94025,CA,USA,37.41605,-122.151801,,
5,c:7,7,,SF Bay,Suite 200,654 High Street,Palo Alto,94301,CA,ISR,0.0,0.0,,
6,c:8,8,,SF Bay,"959 Skyway Road, Suite 200",,San Carlos,94070,CA,USA,37.506885,-122.247573,,
7,c:9,9,Headquarters,Los Angeles,9229 W. Sunset Blvd.,,West Hollywood,90069,CA,USA,34.090368,-118.393064,,
8,c:10,10,,Los Angeles,"8536 National Blvd, Suite A",,Culver City,90232,CA,USA,34.025958,-118.379768,,
9,c:11,11,,Los Angeles,407 N Maple Dr,,Beverly Hills,90210,CA,USA,34.076178999999996,-118.39416999999999,,
10,c:12,12,,SF Bay,1355 Market St.,,San Francisco,94103,CA,USA,37.776805200000005,-122.4169244,,
11,c:14,14,,SF Bay,,,Menlo Park,,CA,USA,37.48413,-122.169472,,
12,c:15,15,HQ,SF Bay,539 Bryant Street,,San Francisco,94107,CA,USA,37.789634,-122.40405200000001,,
13,c:16,16,,San Diego,16935 W. Bernardo Dr. Suite 101,,San Diego,92127,CA,USA,33.022176,-117.081406,,
14,c:18,17,Lala Headquarters,SF Bay,209 Hamilton Ave,Suite #200,Palo Alto,94301,CA,USA,37.451151,-122.15436899999999,,
15,c:19,18,,Los Angeles,10960 Wilshire Blvd.,Suite 700,Los Angeles,90024,CA,USA,34.057497999999995,-118.446596,,
16,c:20,19,Headquarters,SF Bay,2145 Hamilton Avenue,,San Jose,95125,CA,USA,37.295004999999996,-121.930035,,
17,c:21,20,,United States - Other,,,,,,USA,37.09024,-95.712891,,
18,c:22,21,,New York,,,New York City,,NY,USA,40.757929,-73.985506,,
19,c:23,22,,New York,100 5th Ave Fl 6,,New York,10011-6903,NY,USA,40.7464969,-74.00944709999999,,
20,c:24,23,,California - Other,,,,,CA,USA,37.269175,-119.306607,,
21,c:25,24,HQ,New York,1515 Broadway,,New York,10036,NY,USA,40.757725,-73.986011,,
22,c:26,25,,London,,,London,,,GBR,53.344104,-6.267494,,
23,c:27,26,HQ,SF Bay,"1050 Enterprise Way, 5th floor",,Sunnyvale,94089,CA,USA,37.387845,-122.05519699999999,,
24,c:28,27,Headquarters,SF Bay,170 West Tasman Dr.,,San Jose,95134,CA,USA,37.408802,-121.95376999999999,,
25,c:29,28,,SF Bay,701 First Avenue,,Sunnyvale,94089,CA,USA,37.418531,-122.025485,,
26,c:30,29,,SF Bay,475 Brannan St,,San Francisco,94107,CA,USA,37.778613,-122.39528899999999,,
27,c:31,30,,SF Bay,360 Post St. Ste. 1100,,San Francisco,94108,CA,USA,37.779558,-122.393041,,
28,c:32,31,Corporate Headquarters,Buckinghamshire,"Wethered House, Pound Lane",,Buckinghamshire,SL7 2AF,,GBR,0.0,0.0,,
29,c:34,33,HQ - Virginia,Washington DC,1595 Spring Hill Road,Suite 300,Vienna,22182,VA,USA,38.926171999999994,-77.245195,,
30,c:35,34,Headquarters,Los Angeles,888 East Walnut Street,,Pasadena,91101,CA,USA,34.1494713,-118.13274679999999,,
31,c:36,35,,Los Angeles,3525 Eastham Dr.,,Culver City,90232,CA,USA,34.017606,-118.48726699999999,,
32,c:37,36,,United States - Other,,,,,,USA,37.09024,-95.712891,,
33,c:38,37,,SF Bay,442 Post Street,10th Floor,San Francisco,94102,CA,USA,37.788482,-122.409173,,
34,c:39,38,,SF Bay,115 everett ave.,,palo alto,94301,CA,USA,0.0,0.0,,
35,c:40,39,,San Diego,10180 Telesis Court Suite,Suite  400,San Diego,92121,CA,USA,32.902266,-117.20833999999999,,
36,c:41,40,,Washington DC,7950 Jones Branch Drive,,McLean,22107,VA,USA,38.929289000000004,-77.216585,,
37,c:42,41,HQ,New York,One Time Warner Center,,New York,10019,NY,USA,37.269175,-119.306607,,
38,c:43,42,,Austin,,,Austin,,TX,USA,30.268734999999996,-97.745209,,
39,c:44,43,,New York,475 Park Ave South,10th Floor,New York,10016,NY,USA,37.480999,-122.17388700000001,,
40,c:45,44,,California - Other,,,,,CA,USA,37.269175,-119.306607,,
41,c:47,46,"Brisbane, CA",SF Bay,2000 Marina Boulevard,10th Floor,Brisbane,94005,CA,USA,37.6741593,-122.38593540000001,,
42,c:48,47,,Chicago,180 North Stetson Avenue,Suite 3500,Chicago,60601,IL,USA,41.885619,-87.622309,,
43,c:49,48,,SF Bay,,,Palo Alto,,CA,USA,37.437328,-122.15992800000001,,
44,c:50,49,,New York,632 Broadway,10th Floor,New York,10012,NY,USA,40.726040000000005,-73.995722,,
45,c:51,50,,SF Bay,440 N. Wolfe Road,,Sunnyvale,94085,CA,USA,37.384239,-122.012475,,
46,c:52,51,,United States - Other,,,,,,USA,37.09024,-95.712891,,
47,c:53,52,,Phoenix,"60 E. Rio Salado Pkwy, Suite 400",,Tempe,85281,AZ,USA,33.429859,-111.93873899999998,,
48,c:54,53,,SF Bay,"400 Montgomery St, Suite 900",,San Francisco,94104,CA,USA,37.793147999999995,-122.40256699999999,,
49,c:55,54,,California - Other,,,,,CA,USA,37.697804999999995,-121.90776799999999,,
50,c:56,55,,SF Bay,645 harrison,,San Francisco,94017,CA,USA,37.783383,-122.39570800000001,,
51,c:57,56,,SF Bay,"67 E. Evelyn Ave, Suite 200",,Mountain View,94041,CA,USA,37.390056,-122.067692,,
52,c:58,57,,SF Bay,101 2nd Street,15th Floor,San Francisco,94105,CA,USA,37.78976,-122.402524,,
53,c:59,58,Google Headquarters,SF Bay,1600 Amphitheatre Parkway,,Mountain View,,CA,USA,37.421972,-122.084143,,
54,c:60,59,Jajah HQ,SF Bay,2513 Charleston Road,Suite 102,Mountain View,94043,CA,USA,37.4233896,-122.08995120000002,,
55,c:61,60,Waterfall Mobile,SF Bay,"25 Division Street, Suite 205",,San Francisco,94103,CA,USA,0.0,0.0,,
56,c:62,61,Global HQ,Luxembourg City,23-29 Rives de Clausen,,Luxembourg City,L-2165,,LUX,51.518132,-0.131916,,
57,c:63,62,Corporate Headquarters,SF Bay,901 Cherry Ave,,San Bruno,94066,CA,USA,37.627971,-122.426804,,
58,c:64,63,,Los Angeles,1975 pads rd,Suite 3000,Los Angeles,90071,CA,USA,34.051409,-118.254558,,
59,c:65,64,Headquarters,Ramat Gan,30 Ben Gurion St.,,Ramat Gan,52573,,ISR,31.046051000000002,34.851612,,
60,c:66,65,Livestream HQ,New York,"111 8th Avenue, #1509",,New York,10011,NY,USA,40.726155,-73.995625,,
61,c:67,66,,SF Bay,36 Clyde Street,,San Francisco,94107,CA,USA,37.778438,-122.394098,,
62,c:68,67,San Francisco Office,SF Bay,410 Townsend,Suite 400,San Francisco,94107,CA,USA,37.392936,-122.07948,,
63,c:69,68,,New York,131 Varick St,,NYC,10013,NY,USA,40.801358,-74.3372,,
64,c:70,69,,New York,520 Broadway,10th Floor,New York,10012,NY,USA,40.722654999999996,-73.99873000000001,,
65,c:72,70,,SF Bay,"48389 Fremont Blvd., Suite #110",,Fremont,94538,CA,USA,37.465645,-121.932202,,
66,c:73,71,,San Diego,"5960 Cornerstone Court West, Suite 101",,San Diego,,CA,USA,32.895267,-117.19134199999999,,
67,c:74,72,,New York,"2001 West Main St., Suite 255",,Stamford,06902,CT,USA,41.049051,-73.563878,,
68,c:77,74,Headquarters,SF Bay,Two Waters Park Drive,Suite 200,San Mateo,94403,CA,USA,37.551441,-122.291435,,
69,c:78,75,,SF Bay,,,Palo Alto,94301,CA,USA,37.44296,-122.151198,,
70,c:79,76,,Chicago,435 North Michigan Avenue,,Chicago,60611,IL,USA,41.890569,-87.62425,,
71,c:80,77,,Seattle,3131 Elliott Avenue Suite 600,,Seattle,98121,WA,USA,47.617682,-122.357242,,
72,c:81,78,,SF Bay,"1459 18th Street, Suite 142",,San Francisco,94107,CA,USA,37.762541,-122.397224,,
73,c:82,79,HQ,SF Bay,2415 3rd St,,San Francisco,94107,CA,USA,37.757758,-122.38824299999999,,
74,c:83,80,,London,,,Oxford,,,GBR,51.752276,-1.255824,,
75,c:84,81,,SF Bay,2121 S. El Camino Real,11th Floor,San Mateo,94403,CA,USA,37.558315,-122.286224,,
76,c:85,82,San Francisco Office,SF Bay,111 Sutter Street,Suite 850,San Francisco,94104,CA,USA,37.78976,-122.402524,,
77,c:86,83,,SF Bay,"650 Castro Street, #300",,Mountain View,94041,CA,USA,37.388077,-122.08316,,
78,c:87,84,,California - Other,,,,,CA,USA,37.269175,-119.306607,,
79,c:88,85,,Seattle,,,Seattle,,WA,USA,47.620715999999994,-122.34753300000001,,
80,c:89,86,QLL COMMUNICATIONS,SCHUYLER LAKE,P.O. BOX 150,,SCHUYLER LAKE,13457,NY,USA,37.488336,-122.217964,,
81,c:90,87,,SF Bay,1110 Burlingame Ave,Suite 300,Burlingame,94010,CA,USA,37.559287,-122.30226200000001,,
82,c:91,88,,Los Angeles,16161 Ventura Blvd.,Suite C PMB 461,Encino,91436,CA,USA,37.269175,-119.306607,,
83,c:92,89,,SF Bay,617 Front St,,San Francisco,94111,CA,USA,37.797340000000005,-122.399583,,
84,c:93,90,,SF Bay,374 Brannan St.,,San Francisco,94107,CA,USA,37.780716,-122.39391299999998,,
85,c:94,91,HQ,United States - Other,,,,,,USA,37.09024,-95.712891,,
86,c:96,93,,Boston,,,Cambridge,,MA,USA,42.375392,-71.118487,,
87,c:97,94,,Vancouver,,,Vancouver,,,CAN,49.263588,-123.13856499999999,,
88,c:98,95,,Moscow,,,Moscow,,,RUS,55.755786,37.617633000000005,,
89,c:99,96,,New York,,,Long Island City,,NY,USA,40.744679999999995,-73.9485,,
90,c:100,97,,SF Bay,1855 South Grant Street,3rd Floor,San Mateo,94402,CA,USA,37.553385,-122.302149,,
91,c:101,98,,Bocholt,Harderhook 22,,46395 Bocholt,,,DEU,51.808933,6.553452,,
92,c:103,100,Head Quarters,SF Bay,167 2nd Ave,,San Mateo,94401,CA,USA,37.421621,-122.13744399999999,,
93,c:104,101,,Dublin,East Wall Road,Docklands Innovation Park,Dublin,,,IRL,53.354997,-6.229255,,
94,c:105,102,,New York,770 Broadway,5th Floor,New York,10003,NY,USA,37.809782,-122.41730600000001,,
95,c:106,103,iContact,Raleigh-Durham,5221 Paramount Parkway,,Morrisville,27560,NC,USA,0.0,0.0,,
96,c:107,104,,SF Bay,"500 Airport Blvd., Suite 400",,Burlingame,94010,CA,USA,37.590339,-122.341715,,
97,c:108,105,,SF Bay,1 Market Street,"19th Floor, Spear Tower",San Francisco,94105,CA,USA,37.793819,-122.39508899999998,,
98,c:110,107,,Boston,,,Cambridge,02139,MA,USA,42.364397,-71.101196,,
99,c:111,108,,Los Angeles,5737 Kanan Rd.,,Agoura Hills,91301,CA,USA,34.155211,-118.75661799999999,,
100,c:112,109,,Paris,55 rue Servan,,Paris,75011,,FRA,48.862825,2.381836,,
